load_time,蒸发侧出水温度,蒸发侧进水温度,冷凝侧出水温度,压缩机1排气温度,冷凝侧进水温度,压缩机1液管温度,压缩机1吸气温度,压缩机1排气压力,压缩机1膨胀阀开度,压缩机1电流,压缩机2电流,压缩机1负荷,压缩机2负荷,压缩机2排气压力,压缩机2膨胀阀开度,压缩机2吸气压力,压缩机2液管温度,压缩机1运行时间,压缩机1启动次数,压缩机2运行时间,压缩机2启动次数
2024/11/1 0:00,4.2,6.6,37.8,55.1,31.7,36.3,209,940,52.6,216.3,207.9,100,100,926,53.4,225,35.5,2458,364,2508,354
2024/11/1 0:05,4.2,6.6,37.8,55.2,31.7,36.4,209,941,53.1,216.6,203.3,100,100,930,53.4,225,35.3,2458,364,2508,354
2024/11/1 0:10,4.2,6.6,37.9,55.3,31.8,36.4,210,942,52.6,217.9,203.1,100,100,931,53.9,225,35.3,2458,364,2508,354
2024/11/1 0:15,4.2,6.5,38,55.5,31.9,36.4,208,945,52.1,219.1,203.2,100,100,932,53.2,224,35.6,2458,364,2508,354
2024/11/1 0:20,4.2,6.5,38,55.6,32,36.5,209,947,52.1,219,208.4,100,100,934,53.7,225,35.5,2458,364,2509,354
2024/11/1 0:25,4.2,6.5,38.1,55.2,32,36.5,210,950,52.1,219.1,208.3,100,100,935,54.2,225,35.6,2458,364,2509,354
2024/11/1 0:30,4.2,6.5,38.1,55.2,32.1,36.6,208,949,52.1,214.1,203.3,100,100,936,53.2,224,35.6,2458,364,2509,354
2024/11/1 0:35,4.2,6.5,38.2,55.4,32.1,36.6,209,951,52.1,216.6,205.8,100,100,938,53.7,225,35.7,2458,364,2509,354
2024/11/1 0:40,4.2,6.5,38.2,55.6,32.1,36.6,209,951,52.1,219,209.3,100,100,938,53.2,224,35.7,2458,364,2509,354
2024/11/1 0:45,4.2,6.5,38.2,55.7,32.2,36.7,209,953,52.1,216.5,208.3,100,100,940,52.7,224,35.6,2458,364,2509,354
