load_time,1号发电单元系统状态,2号发电单元系统状态,3号发电单元系统状态,4号发电单元系统状态,1号发电单元故障等级,2号发电单元故障等级,3号发电单元故障等级,4号发电单元故障等级,1号发电单元故障码,2号发电单元故障码,3号发电单元故障码,4号发电单元故障码,系统输出总功率,系统输出总电流,系统输出总电压,系统状态,系统故障等级,1号发电单元输出功率,2号发电单元输出功率,3号发电单元输出功率,4号发电单元输出功率,1号发电单元输出电流,2号发电单元输出电流,3号发电单元输出电流,4号发电单元输出电流,1号发电单元输出电压,2号发电单元输出电压,3号发电单元输出电压,4号发电单元输出电压,氢气压力,1号DCDC状态,2号DCDC状态,3号DCDC状态,4号DCDC状态,系统启动次数,系统累计运行时间,1号发电单元启动次数,2号发电单元启动次数,3号发电单元启动次数,4号发电单元启动次数,1号发电单元累计运行时间,2号发电单元累计运行时间,3号发电单元累计运行时间,4号发电单元累计运行时间,1号发电单元输入氢气压强,2号发电单元输入氢气压强,3号发电单元输入氢气压强,4号发电单元输入氢气压强,1号发电单元输入空气压强,2号发电单元输入空气压强,3号发电单元输入空气压强,4号发电单元输入空气压强,1号发电单元空气出堆压强,2号发电单元空气出堆压强,3号发电单元空气出堆压强,4号发电单元空气出堆压强,1号发电单元空气出堆温度,2号发电单元空气出堆温度,3号发电单元空气出堆温度,4号发电单元空气出堆温度,空压机实时功率,1号发电单元内循环进堆温度,2号发电单元内循环进堆温度,3号发电单元内循环进堆温度,4号发电单元内循环进堆温度,1号发电单元内循环出堆温度,2号发电单元内循环出堆温度,3号发电单元内循环出堆温度,4号发电单元内循环出堆温度,发电单元内循环泵转速,发电单元内循环压力,外循环冷却水进水温度（总）,外循环冷却水出水温度（总）,外循环冷却水进水温度（电堆）,外循环冷却水出水温度（电堆）,外循环冷却水流量（总）,外循环冷却水流量（电堆）,外循环冷却水流量（空压机）,1号发电单元氢气出堆压强,2号发电单元氢气出堆压强,3号发电单元氢气出堆压强,4号发电单元氢气出堆压强,1号发电单元氢气入堆温度,2号发电单元氢气入堆温度,3号发电单元氢气入堆温度,4号发电单元氢气入堆温度,1号发电单元氢气出堆温度,2号发电单元氢气出堆温度,3号发电单元氢气出堆温度,4号发电单元氢气出堆温度,1号发电单元空气入堆温度,2号发电单元空气入堆温度,3号发电单元空气入堆温度,4号发电单元空气入堆温度,1号发电单元柜内氢浓度,2号发电单元柜内氢浓度,3号发电单元柜内氢浓度,4号发电单元柜内氢浓度
2024/12/1 0:00,5,5,5,5,0,0,0,0,0,0,0,0,109,141,775,0,0,30,27,24,28,37,36,31,36,752,775,768,770,0,0,0,0,0,623,2862,623,573,554,540,2856,2861,2862,2862,41,43,44,44,34,33,34,35,0,0,2,2,36,36,36,37,23,34,34,34,34,37,37,37,38,810,53,31.9,33.3,33.6,36.1,62.6,50.9,11.7,210,210,210,210,60,59,59,58,0,0,0,0,29,29,30,29,0,0,0,0
2024/12/1 0:05,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,62,0,0,0,0,0,0,-1,0,-1,0,18,62,16,15,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-44,-67,4,-8,-13,-17,-6,-7,-13,-16,-7,-7,34,34,34,34,0,33,33,33,33,33,33,33,33,0,11,31.8,31.8,32.4,32.7,62.5,50.7,11.8,211,211,211,211,57,58,57,57,0,0,0,0,28,28,30,29,0,0,0,0
2024/12/1 0:10,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,35,0,0,0,0,0,0,-1,0,-1,0,3,35,4,3,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-40,-55,-10,-16,-17,-22,0,-4,-17,-22,-1,-4,34,34,34,34,0,33,33,33,33,33,33,33,34,0,11,31.9,31.8,32.3,32.7,62.8,51.4,11.4,210,210,210,210,52,53,53,52,0,0,0,0,29,30,31,30,0,0,0,0
2024/12/1 0:15,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,25,0,0,0,0,0,0,-1,0,-1,0,2,25,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-36,-46,-10,-15,-21,-25,-2,-6,-21,-24,-3,-6,34,34,33,34,0,33,33,33,33,33,33,33,33,0,10,31.9,31.8,32.2,32.5,62.8,51.4,11.4,210,210,210,210,49,49,49,48,0,0,0,0,30,30,32,31,0,0,0,0
2024/12/1 0:20,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,35,0,0,0,0,0,0,-1,0,-1,0,2,35,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-33,-39,-9,-14,-23,-16,-3,-8,-24,-15,-4,-8,34,33,33,34,0,33,33,33,33,33,33,33,33,0,10,31.9,31.9,32.1,32.1,62.9,51.5,11.4,211,211,211,211,46,46,46,45,0,0,0,0,31,31,32,32,0,0,0,0
2024/12/1 0:25,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,15,0,0,0,0,0,0,-1,0,-1,0,3,15,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-31,-33,-9,-14,-24,-19,-5,-9,-25,-18,-6,-9,33,33,33,33,0,33,33,33,33,33,33,33,33,0,10,31.7,31.7,32,31.9,62.7,51.3,11.4,210,210,210,210,43,44,43,43,0,0,0,0,31,31,32,32,0,0,0,0
2024/12/1 0:30,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,9,0,0,0,0,0,0,-1,0,-1,0,3,9,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-30,-30,-10,-14,-25,-20,-6,-10,-26,-19,-7,-10,33,32,32,33,0,33,33,33,33,33,33,33,33,0,11,31.6,31.6,31.8,31.7,63,51.5,11.5,210,210,210,210,41,41,41,40,0,0,0,0,31,31,32,32,0,0,0,0
2024/12/1 0:35,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,5,0,0,0,0,0,0,-1,0,-1,0,3,5,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-28,-28,-10,-14,-16,-21,-7,-11,-17,-20,-8,-11,32,32,32,32,0,33,33,33,33,33,33,33,33,0,11,31.6,31.6,31.7,31.4,63.2,51.7,11.5,211,211,211,211,39,39,39,38,0,0,0,0,31,31,32,32,0,0,0,0
2024/12/1 0:40,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,4,0,0,0,0,0,0,-1,0,-1,0,2,4,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-26,-27,-10,-14,-19,-21,-8,-12,-19,-20,-9,-12,32,31,31,32,0,33,33,33,33,33,32,33,33,0,11,31.6,31.5,31.5,31.2,63.4,51.9,11.5,211,211,211,211,37,38,38,37,0,0,0,0,31,31,31,31,0,0,0,0
2024/12/1 0:45,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,3,0,0,0,0,0,0,-1,0,-1,0,3,2,2,2,0,0,0,0,0,623,2865,623,573,554,540,2859,2864,2865,2865,-25,-25,-11,-15,-20,-21,-8,-13,-21,-20,-10,-13,31,31,31,31,0,33,33,33,33,33,32,33,33,0,10,31.6,31.5,31.4,30.9,62.9,51.5,11.4,211,211,211,211,36,36,36,36,0,0,0,0,30,30,31,31,0,0,0,0
